G1		S/G2/M		G0		total
0.838709677	0.032258065	0.129032258	1
0.711764706	0.058823529	0.229411765	1
0.338235294	0.455882353	0.205882353	1
0.776119403	0.111940299	0.111940299	1
0.471428571	0.085714286	0.442857143	1
0.552401747	0.14628821	0.301310044	1
0.707317073	0.12195122	0.170731707	1
0.630653266	0.129815745	0.239530988	1
0.713114754	0.073770492	0.213114754	1
0.333333333	0.321428571	0.345238095	1
0.608058608	0.102564103	0.289377289	1
0.792682927	0.048780488	0.158536585	1
0.701492537	0.029850746	0.268656716	1
0.519230769	0.134615385	0.346153846	1
0.642857143	0.106060606	0.251082251	1
0.676470588	0.117647059	0.205882353	1
0.722222222	0.088888889	0.188888889	1
0.904040404	0.015151515	0.080808081	1
0.746575342	0.061643836	0.191780822	1
0.729613734	0.072961373	0.197424893	1
0.465648855	0.129770992	0.404580153	1
0.890410959	0.082191781	0.02739726	1
0.569444444	0.125		0.305555556	1
0.714932127	0.108597285	0.176470588	1
0.550458716	0.146788991	0.302752294	1
0.640873016	0.045634921	0.313492063	1
0.5390625	0.1171875	0.34375		1
0.578125	0.109375	0.3125		1
0.488235294	0.005882353	0.505882353	1
0.497807018	0.160087719	0.342105263	1
0.32		0.04		0.64		1
0.38372093	0.244186047	0.372093023	1
0.353932584	0.061797753	0.584269663	1
0.330357143	0.053571429	0.616071429	1
0.4435		0.1035		0.454		1.001
0.448979592	0.12755102	0.423469388	1
0.420212766	0.083333333	0.496453901	1
0.37037037	0.051851852	0.577777778	1
0.360465116	0.127906977	0.511627907	1
0.695652174	0.086956522	0.217391304	1
0.649122807	0.052631579	0.298245614	1
0.392996109	0.093385214	0.513618677	1
0.4453125	0.098958333	0.455729167	1
0.255319149	0.031914894	0.712765957	1
0.325		0.0875		0.5875		1
0.613636364	0.090909091	0.295454545	1
0.858391608	0.04020979	0.101398601	1
0.840909091	0.068181818	0.090909091	1
0.914893617	0.021276596	0.063829787	1
0.84		0.08		0.08		1
0.412621359	0.325242718	0.262135922	1
0.824675325	0.045454545	0.12987013	1
1		0		0		1
0.609756098	0.097560976	0.292682927	1
0.710332103	0.13099631	0.162361624	1.003690037
0.761627907	0.029069767	0.209302326	1
0.5625		0.3875		0.05		1
0.801186944	0.083086053	0.115727003	1
0.650485437	0.097087379	0.252427184	1
0.911637931	0.030890805	0.057471264	1
0.866141732	0.039370079	0.094488189	1
0.774725275	0.082417582	0.142857143	1
